index,accuracy,recall
0,1.0,1.0
1,0.5,1.0
2,0.5,1.0
3,1.0,1.0
4,0.5,1.0
5,1.0,1.0
6,1.0,1.0
7,0.6666666666666666,0.6666666666666666
8,1.0,1.0
9,1.0,1.0
10,1.0,1.0
11,1.0,1.0
12,1.0,1.0
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,1.0,1.0
17,1.0,1.0
18,0.6666666666666666,1.0
19,1.0,1.0
20,1.0,1.0
21,1.0,1.0
22,1.0,1.0
23,1.0,1.0
24,1.0,1.0
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,0.5,1.0
42,0.6666666666666666,0.6666666666666666
43,1.0,1.0
44,0.6666666666666666,0.6666666666666666
45,1.0,1.0
46,1.0,1.0
47,0.6666666666666666,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,0.6666666666666666,0.6666666666666666
54,1.0,1.0
55,0.5,1.0
56,1.0,1.0
57,0.5,1.0
58,1.0,1.0
59,0.5,1.0
60,1.0,1.0
61,0.3333333333333333,0.5
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,1.0
66,1.0,1.0
67,0.6666666666666666,0.6666666666666666
68,1.0,1.0
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,0.5,0.5
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
77,1.0,1.0
78,1.0,1.0
79,1.0,1.0
80,1.0,1.0
81,1.0,1.0
82,1.0,1.0
83,1.0,1.0
84,1.0,1.0
85,1.0,1.0
86,1.0,1.0
87,1.0,1.0
88,1.0,1.0
89,0.6666666666666666,1.0
90,1.0,1.0
91,1.0,1.0
92,1.0,1.0
93,1.0,1.0
94,0.5,1.0
95,0.5,0.5
96,0.3333333333333333,0.3333333333333333
97,1.0,1.0
98,0.6666666666666666,0.6666666666666666
99,1.0,1.0
100,1.0,1.0
101,0.6666666666666666,0.6666666666666666
102,1.0,1.0
103,0.6666666666666666,0.6666666666666666
104,1.0,1.0
105,1.0,1.0
106,0.6666666666666666,0.6666666666666666
107,0.6666666666666666,0.6666666666666666
108,1.0,1.0
109,0.5,1.0
110,0.5,1.0
111,1.0,1.0
112,0.6666666666666666,0.6666666666666666
113,1.0,1.0
114,0.75,0.75
115,1.0,1.0
116,1.0,1.0
117,1.0,1.0
118,1.0,1.0
119,0.6666666666666666,0.6666666666666666
120,1.0,1.0
121,0.75,1.0
122,0.6666666666666666,0.6666666666666666
123,1.0,1.0
124,1.0,1.0
125,0.5,1.0
126,0.5,1.0
127,1.0,1.0
128,0.5,1.0
129,1.0,1.0
130,0.5,0.5
131,1.0,1.0
132,1.0,1.0
133,1.0,1.0
134,1.0,1.0
135,1.0,1.0
136,1.0,1.0
137,0.5,0.5
138,0.6666666666666666,0.6666666666666666
139,0.75,0.75
140,1.0,1.0
141,0.3333333333333333,0.5
142,1.0,1.0
143,1.0,1.0
144,1.0,1.0
145,1.0,1.0
146,0.5,1.0
147,1.0,1.0
148,0.5,1.0
149,1.0,1.0
150,1.0,1.0
151,1.0,1.0
152,1.0,1.0
153,0.5,0.5
154,0.3333333333333333,0.5
155,1.0,1.0
156,0.6666666666666666,0.6666666666666666
157,1.0,1.0
158,0.5,0.5
159,1.0,1.0
160,1.0,1.0
161,1.0,1.0
162,1.0,1.0
163,1.0,1.0
164,1.0,1.0
165,1.0,1.0
166,0.6666666666666666,0.6666666666666666
167,1.0,1.0
168,1.0,1.0
169,0.6666666666666666,0.6666666666666666
170,1.0,1.0
171,1.0,1.0
172,0.5,1.0
173,0.5,1.0
174,1.0,1.0
175,1.0,1.0
176,0.3333333333333333,0.5
177,1.0,1.0
178,1.0,1.0
179,1.0,1.0
180,1.0,1.0
181,1.0,1.0
182,1.0,1.0
183,1.0,1.0
184,1.0,1.0
185,1.0,1.0
186,0.6666666666666666,1.0
187,1.0,1.0
